Epoch 1, ACC 0.00, TLOSS 18.445473, LR 0.00009991, EER 12.8077, MinDCF 0.72790, bestEER 12.8077, bestMinDCF 0.72790
Epoch 2, ACC 0.13, TLOSS 14.069070, LR 0.00019981, EER 8.7863, MinDCF 0.52033, bestEER 8.7863, bestMinDCF 0.52033
Epoch 3, ACC 2.66, TLOSS 11.271991, LR 0.00029981, EER 6.3876, MinDCF 0.40827, bestEER 6.3876, bestMinDCF 0.40827
Epoch 4, ACC 8.52, TLOSS 9.192071, LR 0.00039981, EER 4.6750, MinDCF 0.31691, bestEER 4.6750, bestMinDCF 0.31691
Epoch 5, ACC 14.14, TLOSS 7.937565, LR 0.00049981, EER 3.5143, MinDCF 0.23728, bestEER 3.5143, bestMinDCF 0.23728
Epoch 6, ACC 18.92, TLOSS 7.066693, LR 0.00059981, EER 3.0688, MinDCF 0.20298, bestEER 3.0688, bestMinDCF 0.20298
Epoch 7, ACC 23.12, TLOSS 6.443322, LR 0.00069971, EER 2.6583, MinDCF 0.18566, bestEER 2.6583, bestMinDCF 0.18566
Epoch 8, ACC 26.42, TLOSS 5.951568, LR 0.00079971, EER 2.4137, MinDCF 0.15678, bestEER 2.4137, bestMinDCF 0.15678
Epoch 9, ACC 29.32, TLOSS 5.571942, LR 0.00089971, EER 2.2232, MinDCF 0.14475, bestEER 2.2232, bestMinDCF 0.14475
Epoch 10, ACC 31.68, TLOSS 5.285161, LR 0.00099961, EER 2.1806, MinDCF 0.15646, bestEER 2.1806, bestMinDCF 0.14475
Epoch 11, ACC 34.34, TLOSS 4.994735, LR 0.00098916, EER 1.8402, MinDCF 0.12311, bestEER 1.8402, bestMinDCF 0.12311
Epoch 12, ACC 37.29, TLOSS 4.664617, LR 0.00095698, EER 1.7179, MinDCF 0.11167, bestEER 1.7179, bestMinDCF 0.11167
Epoch 13, ACC 39.89, TLOSS 4.419460, LR 0.00090487, EER 1.4786, MinDCF 0.10386, bestEER 1.4786, bestMinDCF 0.10386
Epoch 14, ACC 42.20, TLOSS 4.162343, LR 0.00083510, EER 1.5152, MinDCF 0.10726, bestEER 1.4786, bestMinDCF 0.10386
Epoch 15, ACC 44.83, TLOSS 3.950168, LR 0.00075071, EER 1.3775, MinDCF 0.09242, bestEER 1.3775, bestMinDCF 0.09242
Epoch 16, ACC 47.24, TLOSS 3.739250, LR 0.00065529, EER 1.2973, MinDCF 0.08663, bestEER 1.2973, bestMinDCF 0.08663
Epoch 17, ACC 49.59, TLOSS 3.523571, LR 0.00055309, EER 1.2871, MinDCF 0.09120, bestEER 1.2871, bestMinDCF 0.08663
Epoch 18, ACC 51.80, TLOSS 3.346134, LR 0.00044856, EER 1.1541, MinDCF 0.08275, bestEER 1.1541, bestMinDCF 0.08275
Epoch 19, ACC 53.85, TLOSS 3.176553, LR 0.00034628, EER 1.1856, MinDCF 0.07743, bestEER 1.1541, bestMinDCF 0.07743
Epoch 20, ACC 55.67, TLOSS 3.026825, LR 0.00025081, EER 1.0690, MinDCF 0.07333, bestEER 1.0690, bestMinDCF 0.07333
Epoch 21, ACC 57.64, TLOSS 2.885645, LR 0.00016621, EER 1.0424, MinDCF 0.07312, bestEER 1.0424, bestMinDCF 0.07312
Epoch 22, ACC 59.05, TLOSS 2.761843, LR 0.00009611, EER 1.0212, MinDCF 0.07179, bestEER 1.0212, bestMinDCF 0.07179
Epoch 23, ACC 60.11, TLOSS 2.692858, LR 0.00004366, EER 0.9999, MinDCF 0.07514, bestEER 0.9999, bestMinDCF 0.07179
Epoch 24, ACC 60.76, TLOSS 2.656280, LR 0.00001115, EER 0.9946, MinDCF 0.07227, bestEER 0.9946, bestMinDCF 0.07179
Epoch 25, ACC 61.16, TLOSS 2.625244, LR 0.00000001, EER 0.9999, MinDCF 0.07136, bestEER 0.9946, bestMinDCF 0.07136
