Epoch 1, ACC 0.00, TLOSS 18.195996, LR 0.00009991, EER 12.2966, MinDCF 0.67838, bestEER 12.2966, bestMinDCF 0.67838
Epoch 2, ACC 0.31, TLOSS 13.308215, LR 0.00019981, EER 7.3688, MinDCF 0.46207, bestEER 7.3688, bestMinDCF 0.46207
Epoch 3, ACC 4.59, TLOSS 10.304529, LR 0.00029981, EER 5.5792, MinDCF 0.38386, bestEER 5.5792, bestMinDCF 0.38386
Epoch 4, ACC 12.36, TLOSS 8.319911, LR 0.00039981, EER 4.1166, MinDCF 0.25638, bestEER 4.1166, bestMinDCF 0.25638
Epoch 5, ACC 18.61, TLOSS 7.176374, LR 0.00049981, EER 3.1208, MinDCF 0.21144, bestEER 3.1208, bestMinDCF 0.21144
Epoch 6, ACC 23.66, TLOSS 6.412931, LR 0.00059981, EER 2.7646, MinDCF 0.19606, bestEER 2.7646, bestMinDCF 0.19606
Epoch 7, ACC 28.18, TLOSS 5.797557, LR 0.00069971, EER 2.4785, MinDCF 0.15316, bestEER 2.4785, bestMinDCF 0.15316
Epoch 8, ACC 31.69, TLOSS 5.366660, LR 0.00079971, EER 2.1160, MinDCF 0.15401, bestEER 2.1160, bestMinDCF 0.15316
Epoch 9, ACC 34.64, TLOSS 5.014156, LR 0.00089971, EER 1.8183, MinDCF 0.12711, bestEER 1.8183, bestMinDCF 0.12711
Epoch 10, ACC 37.15, TLOSS 4.728422, LR 0.00099961, EER 1.6168, MinDCF 0.12348, bestEER 1.6168, bestMinDCF 0.12348
Epoch 11, ACC 39.82, TLOSS 4.452243, LR 0.00098916, EER 1.5903, MinDCF 0.12045, bestEER 1.5903, bestMinDCF 0.12045
Epoch 12, ACC 42.61, TLOSS 4.173973, LR 0.00095698, EER 1.4945, MinDCF 0.11269, bestEER 1.4945, bestMinDCF 0.11269
Epoch 13, ACC 45.29, TLOSS 3.927579, LR 0.00090487, EER 1.3669, MinDCF 0.10577, bestEER 1.3669, bestMinDCF 0.10577
Epoch 14, ACC 48.03, TLOSS 3.657756, LR 0.00083510, EER 1.3403, MinDCF 0.09907, bestEER 1.3403, bestMinDCF 0.09907
Epoch 15, ACC 50.45, TLOSS 3.454586, LR 0.00075071, EER 1.2233, MinDCF 0.08019, bestEER 1.2233, bestMinDCF 0.08019
Epoch 16, ACC 52.92, TLOSS 3.270833, LR 0.00065529, EER 1.1116, MinDCF 0.08317, bestEER 1.1116, bestMinDCF 0.08019
Epoch 17, ACC 55.03, TLOSS 3.063803, LR 0.00055309, EER 1.1063, MinDCF 0.08381, bestEER 1.1063, bestMinDCF 0.08019
