Epoch 1, ACC 0.00, TLOSS 22.182002, LR 0.00000001, EER 33.5603, MinDCF 0.98425, bestEER 33.5603, bestMinDCF 0.98425
Epoch 2, ACC 0.00, TLOSS 16.389480, LR 0.00010001, EER 11.7284, MinDCF 0.64330, bestEER 11.7284, bestMinDCF 0.64330
Epoch 3, ACC 0.69, TLOSS 12.863957, LR 0.00020001, EER 7.7410, MinDCF 0.47032, bestEER 7.7410, bestMinDCF 0.47032
Epoch 4, ACC 4.77, TLOSS 10.412975, LR 0.00030001, EER 5.4017, MinDCF 0.36283, bestEER 5.4017, bestMinDCF 0.36283
Epoch 5, ACC 10.23, TLOSS 8.788735, LR 0.00040001, EER 3.9304, MinDCF 0.27440, bestEER 3.9304, bestMinDCF 0.27440
Epoch 6, ACC 15.34, TLOSS 7.717946, LR 0.00050000, EER 3.3654, MinDCF 0.24532, bestEER 3.3654, bestMinDCF 0.24532
Epoch 7, ACC 19.90, TLOSS 6.910911, LR 0.00060000, EER 3.2922, MinDCF 0.21671, bestEER 3.2922, bestMinDCF 0.21671
Epoch 8, ACC 23.50, TLOSS 6.347203, LR 0.00070000, EER 2.7072, MinDCF 0.17688, bestEER 2.7072, bestMinDCF 0.17688
Epoch 9, ACC 26.83, TLOSS 5.910473, LR 0.00080000, EER 2.4040, MinDCF 0.15714, bestEER 2.4040, bestMinDCF 0.15714
Epoch 10, ACC 29.40, TLOSS 5.559982, LR 0.00090000, EER 2.1585, MinDCF 0.15331, bestEER 2.1585, bestMinDCF 0.15331
Epoch 11, ACC 31.53, TLOSS 5.294409, LR 0.00100000, EER 1.9725, MinDCF 0.14943, bestEER 1.9725, bestMinDCF 0.14943
Epoch 12, ACC 35.10, TLOSS 4.906665, LR 0.00093333, EER 1.8934, MinDCF 0.11891, bestEER 1.8934, bestMinDCF 0.11891
Epoch 13, ACC 37.87, TLOSS 4.625018, LR 0.00086667, EER 1.6700, MinDCF 0.12503, bestEER 1.6700, bestMinDCF 0.11891
Epoch 14, ACC 40.44, TLOSS 4.343981, LR 0.00080000, EER 1.5637, MinDCF 0.11508, bestEER 1.5637, bestMinDCF 0.11508
Epoch 15, ACC 42.74, TLOSS 4.128635, LR 0.00073334, EER 1.4786, MinDCF 0.09339, bestEER 1.4786, bestMinDCF 0.09339
Epoch 16, ACC 44.88, TLOSS 3.949788, LR 0.00066667, EER 1.4041, MinDCF 0.10455, bestEER 1.4041, bestMinDCF 0.09339
Epoch 17, ACC 46.89, TLOSS 3.747228, LR 0.00060000, EER 1.3132, MinDCF 0.08945, bestEER 1.3132, bestMinDCF 0.08945
Epoch 18, ACC 48.86, TLOSS 3.593662, LR 0.00053334, EER 1.2658, MinDCF 0.09322, bestEER 1.2658, bestMinDCF 0.08945
Epoch 19, ACC 50.66, TLOSS 3.439679, LR 0.00046667, EER 1.1962, MinDCF 0.08509, bestEER 1.1962, bestMinDCF 0.08509
Epoch 20, ACC 52.58, TLOSS 3.283313, LR 0.00040001, EER 1.1169, MinDCF 0.07035, bestEER 1.1169, bestMinDCF 0.07035
Epoch 21, ACC 54.40, TLOSS 3.139356, LR 0.00033334, EER 1.1009, MinDCF 0.07945, bestEER 1.1009, bestMinDCF 0.07035
Epoch 22, ACC 56.05, TLOSS 2.998332, LR 0.00026667, EER 1.0584, MinDCF 0.07887, bestEER 1.0584, bestMinDCF 0.07035
Epoch 23, ACC 57.48, TLOSS 2.886330, LR 0.00020001, EER 0.9786, MinDCF 0.06690, bestEER 0.9786, bestMinDCF 0.06690
Epoch 24, ACC 58.98, TLOSS 2.768975, LR 0.00013334, EER 1.0155, MinDCF 0.06813, bestEER 0.9786, bestMinDCF 0.06690
Epoch 25, ACC 60.65, TLOSS 2.657348, LR 0.00006668, EER 0.9680, MinDCF 0.07067, bestEER 0.9680, bestMinDCF 0.06690
Epoch 26, ACC 61.36, TLOSS 2.594864, LR 0.00000001, EER 0.9627, MinDCF 0.07110, bestEER 0.9627, bestMinDCF 0.06690
Epoch 27, ACC 60.96, TLOSS 2.618184, LR 0.00005001, EER 0.9729, MinDCF 0.06328, bestEER 0.9627, bestMinDCF 0.06328
Epoch 28, ACC 61.11, TLOSS 2.598928, LR 0.00010001, EER 0.9254, MinDCF 0.06514, bestEER 0.9254, bestMinDCF 0.06328
Epoch 29, ACC 60.43, TLOSS 2.652265, LR 0.00015001, EER 1.0105, MinDCF 0.07328, bestEER 0.9254, bestMinDCF 0.06328
Epoch 30, ACC 59.83, TLOSS 2.706113, LR 0.00020001, EER 1.0474, MinDCF 0.06690, bestEER 0.9254, bestMinDCF 0.06328
Epoch 31, ACC 59.33, TLOSS 2.741762, LR 0.00025001, EER 0.9304, MinDCF 0.06849, bestEER 0.9254, bestMinDCF 0.06328
Epoch 32, ACC 58.70, TLOSS 2.771747, LR 0.00030001, EER 1.0212, MinDCF 0.06647, bestEER 0.9254, bestMinDCF 0.06328
Epoch 33, ACC 57.84, TLOSS 2.851702, LR 0.00035001, EER 1.1541, MinDCF 0.07642, bestEER 0.9254, bestMinDCF 0.06328
Epoch 34, ACC 57.23, TLOSS 2.871363, LR 0.00040001, EER 1.1005, MinDCF 0.07084, bestEER 0.9254, bestMinDCF 0.06328
Epoch 35, ACC 56.56, TLOSS 2.945766, LR 0.00045001, EER 1.2388, MinDCF 0.08365, bestEER 0.9254, bestMinDCF 0.06328
Epoch 36, ACC 56.16, TLOSS 2.962050, LR 0.00050000, EER 1.2339, MinDCF 0.09221, bestEER 0.9254, bestMinDCF 0.06328
Epoch 37, ACC 56.92, TLOSS 2.919424, LR 0.00046667, EER 1.1382, MinDCF 0.08843, bestEER 0.9254, bestMinDCF 0.06328
Epoch 38, ACC 57.72, TLOSS 2.839813, LR 0.00043334, EER 1.1116, MinDCF 0.07817, bestEER 0.9254, bestMinDCF 0.06328
Epoch 39, ACC 58.69, TLOSS 2.759472, LR 0.00040001, EER 1.0265, MinDCF 0.07700, bestEER 0.9254, bestMinDCF 0.06328
Epoch 40, ACC 59.59, TLOSS 2.698732, LR 0.00036667, EER 1.1063, MinDCF 0.08035, bestEER 0.9254, bestMinDCF 0.06328
Epoch 41, ACC 60.79, TLOSS 2.619033, LR 0.00033334, EER 0.9893, MinDCF 0.07286, bestEER 0.9254, bestMinDCF 0.06328
Epoch 42, ACC 61.68, TLOSS 2.531326, LR 0.00030001, EER 0.9414, MinDCF 0.06563, bestEER 0.9254, bestMinDCF 0.06328
Epoch 43, ACC 62.73, TLOSS 2.462992, LR 0.00026667, EER 0.9627, MinDCF 0.07945, bestEER 0.9254, bestMinDCF 0.06328
Epoch 44, ACC 63.88, TLOSS 2.376759, LR 0.00023334, EER 1.0478, MinDCF 0.07546, bestEER 0.9254, bestMinDCF 0.06328
Epoch 45, ACC 64.75, TLOSS 2.313899, LR 0.00020001, EER 0.9839, MinDCF 0.07956, bestEER 0.9254, bestMinDCF 0.06328
Epoch 46, ACC 65.60, TLOSS 2.250452, LR 0.00016668, EER 0.9893, MinDCF 0.07408, bestEER 0.9254, bestMinDCF 0.06328
Epoch 47, ACC 66.53, TLOSS 2.193211, LR 0.00013334, EER 0.9839, MinDCF 0.07265, bestEER 0.9254, bestMinDCF 0.06328
Epoch 48, ACC 67.46, TLOSS 2.112217, LR 0.00010001, EER 0.9573, MinDCF 0.07322, bestEER 0.9254, bestMinDCF 0.06328
Epoch 49, ACC 68.42, TLOSS 2.047020, LR 0.00006668, EER 0.9414, MinDCF 0.07275, bestEER 0.9254, bestMinDCF 0.06328
Epoch 50, ACC 69.02, TLOSS 1.995714, LR 0.00003334, EER 0.9145, MinDCF 0.07429, bestEER 0.9145, bestMinDCF 0.06328
Epoch 51, ACC 69.50, TLOSS 1.976639, LR 0.00000001, EER 0.9361, MinDCF 0.07312, bestEER 0.9145, bestMinDCF 0.06328
Epoch 52, ACC 69.40, TLOSS 1.985988, LR 0.00002501, EER 0.9251, MinDCF 0.07520, bestEER 0.9145, bestMinDCF 0.06328
Epoch 53, ACC 69.07, TLOSS 1.999841, LR 0.00005001, EER 0.9627, MinDCF 0.07371, bestEER 0.9145, bestMinDCF 0.06328
Epoch 54, ACC 69.04, TLOSS 2.000937, LR 0.00007501, EER 0.9623, MinDCF 0.08115, bestEER 0.9145, bestMinDCF 0.06328
Epoch 55, ACC 68.55, TLOSS 2.029658, LR 0.00010001, EER 0.9786, MinDCF 0.07977, bestEER 0.9145, bestMinDCF 0.06328
Epoch 56, ACC 68.19, TLOSS 2.061424, LR 0.00012501, EER 0.9627, MinDCF 0.08030, bestEER 0.9145, bestMinDCF 0.06328
Epoch 57, ACC 67.79, TLOSS 2.084414, LR 0.00015001, EER 1.0105, MinDCF 0.08285, bestEER 0.9145, bestMinDCF 0.06328
Epoch 58, ACC 67.46, TLOSS 2.116934, LR 0.00017501, EER 1.0527, MinDCF 0.08359, bestEER 0.9145, bestMinDCF 0.06328
Epoch 59, ACC 66.80, TLOSS 2.150808, LR 0.00020001, EER 1.0212, MinDCF 0.07360, bestEER 0.9145, bestMinDCF 0.06328
Epoch 60, ACC 66.45, TLOSS 2.178231, LR 0.00022501, EER 1.0158, MinDCF 0.07105, bestEER 0.9145, bestMinDCF 0.06328
