Epoch 1, ACC 0.00, TLOSS 23.037285, LR 0.00000001, EER 38.1874, MinDCF 0.98170, bestEER 38.1874, bestMinDCF 0.98170
Epoch 2, ACC 0.05, TLOSS 15.214659, LR 0.00010001, EER 7.9991, MinDCF 0.49654, bestEER 7.9991, bestMinDCF 0.49654
Epoch 3, ACC 4.34, TLOSS 10.495684, LR 0.00020001, EER 4.5616, MinDCF 0.30041, bestEER 4.5616, bestMinDCF 0.30041
Epoch 4, ACC 18.92, TLOSS 7.166471, LR 0.00030001, EER 3.1687, MinDCF 0.23005, bestEER 3.1687, bestMinDCF 0.23005
Epoch 5, ACC 29.58, TLOSS 5.751381, LR 0.00040001, EER 2.2923, MinDCF 0.15944, bestEER 2.2923, bestMinDCF 0.15944
Epoch 6, ACC 35.83, TLOSS 5.049283, LR 0.00050000, EER 2.1487, MinDCF 0.14019, bestEER 2.1487, bestMinDCF 0.14019
Epoch 7, ACC 40.32, TLOSS 4.562855, LR 0.00060000, EER 1.6860, MinDCF 0.12938, bestEER 1.6860, bestMinDCF 0.12938
Epoch 8, ACC 41.97, TLOSS 4.399482, LR 0.00070000, EER 1.7545, MinDCF 0.11630, bestEER 1.7545, bestMinDCF 0.11630
Epoch 9, ACC 45.60, TLOSS 4.003274, LR 0.00080000, EER 1.4201, MinDCF 0.09870, bestEER 1.4201, bestMinDCF 0.09870
Epoch 10, ACC 48.19, TLOSS 3.756687, LR 0.00090000, EER 1.4679, MinDCF 0.10573, bestEER 1.4201, bestMinDCF 0.09870
Epoch 11, ACC 49.90, TLOSS 3.585513, LR 0.00100000, EER 1.4360, MinDCF 0.10742, bestEER 1.4201, bestMinDCF 0.09870
Epoch 12, ACC 52.92, TLOSS 3.313012, LR 0.00093333, EER 1.2228, MinDCF 0.09020, bestEER 1.2228, bestMinDCF 0.09020
Epoch 13, ACC 55.18, TLOSS 3.117316, LR 0.00086667, EER 1.2445, MinDCF 0.09157, bestEER 1.2228, bestMinDCF 0.09020
Epoch 14, ACC 57.54, TLOSS 2.913479, LR 0.00080000, EER 1.1595, MinDCF 0.08450, bestEER 1.1595, bestMinDCF 0.08450
Epoch 15, ACC 59.47, TLOSS 2.771292, LR 0.00073334, EER 1.0584, MinDCF 0.07062, bestEER 1.0584, bestMinDCF 0.07062
Epoch 16, ACC 61.18, TLOSS 2.635838, LR 0.00066667, EER 0.9999, MinDCF 0.06833, bestEER 0.9999, bestMinDCF 0.06833
Epoch 17, ACC 62.70, TLOSS 2.504153, LR 0.00060000, EER 1.0105, MinDCF 0.07100, bestEER 0.9999, bestMinDCF 0.06833
Epoch 18, ACC 64.44, TLOSS 2.379825, LR 0.00053334, EER 0.9145, MinDCF 0.06291, bestEER 0.9145, bestMinDCF 0.06291
Epoch 19, ACC 65.99, TLOSS 2.263165, LR 0.00046667, EER 0.9999, MinDCF 0.06180, bestEER 0.9145, bestMinDCF 0.06180
Epoch 20, ACC 67.41, TLOSS 2.168038, LR 0.00040001, EER 1.0314, MinDCF 0.06440, bestEER 0.9145, bestMinDCF 0.06180
