Epoch 1, ACC 0.00, TLOSS 17.715846, LR 0.00009991, EER 10.6704, MinDCF 0.61376, bestEER 10.6704, bestMinDCF 0.61376
Epoch 2, ACC 1.36, TLOSS 11.900822, LR 0.00019981, EER 5.4708, MinDCF 0.37607, bestEER 5.4708, bestMinDCF 0.37607
Epoch 3, ACC 12.06, TLOSS 8.296362, LR 0.00029981, EER 3.6485, MinDCF 0.25005, bestEER 3.6485, bestMinDCF 0.25005
Epoch 4, ACC 24.39, TLOSS 6.388930, LR 0.00039981, EER 3.0529, MinDCF 0.22022, bestEER 3.0529, bestMinDCF 0.22022
Epoch 5, ACC 32.10, TLOSS 5.457478, LR 0.00049981, EER 2.1647, MinDCF 0.15235, bestEER 2.1647, bestMinDCF 0.15235
Epoch 6, ACC 37.45, TLOSS 4.863988, LR 0.00059981, EER 2.1434, MinDCF 0.13428, bestEER 2.1434, bestMinDCF 0.13428
Epoch 7, ACC 41.65, TLOSS 4.422677, LR 0.00069971, EER 1.7545, MinDCF 0.13002, bestEER 1.7545, bestMinDCF 0.13002
Epoch 8, ACC 44.58, TLOSS 4.107564, LR 0.00079971, EER 1.6009, MinDCF 0.10811, bestEER 1.6009, bestMinDCF 0.10811
Epoch 9, ACC 47.18, TLOSS 3.844404, LR 0.00089971, EER 1.2977, MinDCF 0.10253, bestEER 1.2977, bestMinDCF 0.10253
Epoch 10, ACC 49.41, TLOSS 3.614682, LR 0.00099961, EER 1.4467, MinDCF 0.10338, bestEER 1.2977, bestMinDCF 0.10253
Epoch 11, ACC 51.85, TLOSS 3.395000, LR 0.00098916, EER 1.2228, MinDCF 0.10099, bestEER 1.2228, bestMinDCF 0.10099
Epoch 12, ACC 54.59, TLOSS 3.158106, LR 0.00095698, EER 1.1648, MinDCF 0.07663, bestEER 1.1648, bestMinDCF 0.07663
Epoch 13, ACC 56.77, TLOSS 2.977369, LR 0.00090487, EER 1.0478, MinDCF 0.07382, bestEER 1.0478, bestMinDCF 0.07382
Epoch 14, ACC 59.16, TLOSS 2.770557, LR 0.00083510, EER 1.0478, MinDCF 0.07291, bestEER 1.0478, bestMinDCF 0.07291
Epoch 15, ACC 61.31, TLOSS 2.610665, LR 0.00075071, EER 1.0367, MinDCF 0.06823, bestEER 1.0367, bestMinDCF 0.06823
Epoch 16, ACC 63.27, TLOSS 2.464641, LR 0.00065529, EER 0.9893, MinDCF 0.07839, bestEER 0.9893, bestMinDCF 0.06823
Epoch 17, ACC 65.15, TLOSS 2.304988, LR 0.00055309, EER 0.8188, MinDCF 0.06291, bestEER 0.8188, bestMinDCF 0.06291
Epoch 18, ACC 66.93, TLOSS 2.191521, LR 0.00044856, EER 0.8084, MinDCF 0.06440, bestEER 0.8084, bestMinDCF 0.06291
Epoch 19, ACC 68.78, TLOSS 2.054399, LR 0.00034628, EER 0.8244, MinDCF 0.06477, bestEER 0.8084, bestMinDCF 0.06291
